job_id,title,location,department,salary_range,company_profile,description,requirements,benefits,employment_type,required_experience,required_education,industry,function,fraudulent
1,"['data', 'analyst']","New York, NY",Analytics,$65k-85k,"['a', 'growing', 'tech', 'firm']","['we', 'are', 'looking', 'for', 'a', 'data', 'analyst', 'to', 'process', 'data']","['sql', 'python', 'years', 'exp']","['health', 'insurance', 'pto']","['full', 'time']",Mid-Senior level,Bachelor's Degree,Information Technology,Data Analysis,0
2,"['marketing', 'intern']",San Francisco CA,nan,nan,"['we', 'provide', 'digital', 'mkt', 'services']","['looking', 'for', 'an', 'intern', 'to', 'support', 'content', 'creation']",['nan'],"['free', 'lunch']",['intern'],entry level,bachelors,Marketing,mkt,0
3,"['software', 'engineer']",Remote,Engineering,"90,000 - 110,000","['a', 'saas', 'company']","['develop', 'backend', 'services', 'using', 'python', 'django', 'docker', 'and', 'cloud']","['python', 'rest', 'api']",['nan'],"['full', 'time']",Mid level,Bachelor,IT,Engineering,0
4,"['administrative', 'assistant']",Los Angeles CA,Administration,nan,['nan'],"['urgent', 'hiring', 'no', 'experience', 'needed', 'simple', 'copy', 'paste', 'job']",['none'],['none'],"['full', 'time']",nan,nan,Business Services,Administration,1
5,"['customer', 'support', 'specialist']",Chicago IL,Support,$40k-$50k,"['leading', 'ecommerce', 'platform']","['assist', 'customers', 'via', 'email', 'chat', 'resolve', 'issues']",['nan'],['insurance'],"['full', 'time']",entry-level,High School,E-commerce,Customer Support,0
6,"['data', 'entry', 'clerk']",REMOTE,Operations,nan,['nan'],"['work', 'from', 'home', 'earn', 'weekly', 'apply', 'fast']","['no', 'req']","['weekly', 'payments']","['part', 'time']",nan,nan,Unknown,Operations,1
7,"['project', 'manager']",Boston-MA,Project Mgmt,"85,000-100,000","['global', 'consulting', 'firm']","['plan', 'coordinate', 'and', 'manage', 'multiple', 'client', 'projects']","['pmp', 'preferred']","['k', 'insurance']","['full', 'time']",Senior,Bachelor's Degree,Consulting,Mgmt,0
8,"['sales', 'executive']",Houston; TX,Sales,45K to 65K,"['we', 'are', 'a', 'b', 'b', 'supplier']","['lead', 'generation', 'client', 'meetings', 'sales', 'pitches']",['years'],"['incentives', 'travel', 'allowance']",['fulltime'],mid-level,Bachelor,Manufacturing,Sales,0
9,"['virtual', 'assistant']",Remote,nan,nan,"['global', 'services', 'provider']","['high', 'paying', 'work', 'from', 'home', 'no', 'skills', 'needed']",['nan'],['none'],['contract'],nan,nan,Unknown,Administration,1
10,"['data', 'analyst']",new york NY,Analytics,$65K - 85K,"['a', 'growing', 'tech', 'firm']","['we', 'are', 'looking', 'for', 'a', 'data', 'analyst', 'to', 'process', 'data']","['sql', 'python', 'yrs', 'exp']",['pto'],"['full', 'time']",Mid-Senior level,Bachelor's Degree,IT,Data,0
